pv_id;customer_id;timestamp;load;unit_load;reactive;unit_reactive
d77503a8-04a9-4c64-b73b-c4f8594d6a35;fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 00:00;0;kW;0;kVarh
d77503a8-04a9-4c64-b73b-c4f8594d6a36;fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 00:15;0;kW;0;kVarh
d77503a8-04a9-4c64-b73b-c4f8594d6a37;fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 00:30;0;kW;0;kVarh
d77503a8-04a9-4c64-b73b-c4f8594d6a38;fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 00:45;0;kW;0;kVarh
d77503a8-04a9-4c64-b73b-c4f8594d6a39;fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 01:00;0;kW;0;kVarh
d77503a8-04a9-4c64-b73b-c4f8594d6a40;fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 01:15;0;kW;0;kVarh
d77503a8-04a9-4c64-b73b-c4f8594d6a41;fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 01:30;0;kW;0;kVarh
d77503a8-04a9-4c64-b73b-c4f8594d6a42;fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 01:45;0;kW;0;kVarh
d77503a8-04a9-4c64-b73b-c4f8594d6a43;fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 02:00;0;W;0;kVarh
d77503a8-04a9-4c64-b73b-c4f8594d6a44;fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 02:15;0;kW;0;kVarh
d77503a8-04a9-4c64-b73b-c4f8594d6a45;fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 02:30;0;kW;0;kVarh
d77503a8-04a9-4c64-b73b-c4f8594d6a46;fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 02:45;0;W;0;kVarh
d77503a8-04a9-4c64-b73b-c4f8594d6a47;fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 03:00;0;kW;0;kVarh
d77503a8-04a9-4c64-b73b-c4f8594d6a48;fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 03:15;0;kW;0;kVarh
d77503a8-04a9-4c64-b73b-c4f8594d6a49;fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 03:30;0;kW;0;kVarh
d77503a8-04a9-4c64-b73b-c4f8594d6a50;fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 03:45;0;kW;0;kVarh
d77503a8-04a9-4c64-b73b-c4f8594d6a51;fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 04:00;0;kW;0;kVarh
d77503a8-04a9-4c64-b73b-c4f8594d6a52;fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 04:15;2;kW;0;kVarh
d77503a8-04a9-4c64-b73b-c4f8594d6a53;fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 04:30;0;kW;0;kVarh
d77503a8-04a9-4c64-b73b-c4f8594d6a54;fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 04:45;0;kW;0;kVarh
d77503a8-04a9-4c64-b73b-c4f8594d6a55;fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 05:00;0;kW;0;kVarh
d77503a8-04a9-4c64-b73b-c4f8594d6a56;fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 05:15;0;kW;0;kVarh
d77503a8-04a9-4c64-b73b-c4f8594d6a57;fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 05:30;0;kW;0;kVarh
d77503a8-04a9-4c64-b73b-c4f8594d6a58;fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 05:45;0;kW;0;kVarh
d77503a8-04a9-4c64-b73b-c4f8594d6a59;fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 06:00;0;kW;0;kVarh
d77503a8-04a9-4c64-b73b-c4f8594d6a60;fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 06:15;0;kW;0;kVarh
d77503a8-04a9-4c64-b73b-c4f8594d6a61;fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 06:30;0;kW;0;kVarh
d77503a8-04a9-4c64-b73b-c4f8594d6a62;fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 06:45;0;kW;0;kVarh
d77503a8-04a9-4c64-b73b-c4f8594d6a63;fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 07:00;0;kW;0;kVarh
d77503a8-04a9-4c64-b73b-c4f8594d6a64;fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 07:15;0;kW;0;kVarh
d77503a8-04a9-4c64-b73b-c4f8594d6a65;fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 07:30;0;kW;0;kVarh
d77503a8-04a9-4c64-b73b-c4f8594d6a66;fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 07:45;0;kW;0;kVarh
d77503a8-04a9-4c64-b73b-c4f8594d6a67;fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 08:00;0;kW;0;kVarh
d77503a8-04a9-4c64-b73b-c4f8594d6a68;fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 08:15;0;kW;0;kVarh
d77503a8-04a9-4c64-b73b-c4f8594d6a69;fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 08:30;0;kW;0;kVarh
d77503a8-04a9-4c64-b73b-c4f8594d6a70;fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 08:45;2;kW;0;kVarh
d77503a8-04a9-4c64-b73b-c4f8594d6a71;fe49a4f1-eac6-4c50-9451-6c45037223ba;01.01.2022 09:00;6;kW;0;kVarh
